song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Like a Rolling Stone,Bob Dylan,369600,0.482,0.721,0.731,0.0,0.189,-6.839,0.0321,0.557,95.263,4
Smells Like Teen Spirit,Nirvana,301240,0.485,0.863,1.22e-05,0.0162,0.138,-9.027,0.0495,0.767,116.835,4
A Day In The Life - Remastered,The Beatles,337413,0.364,0.457,0.29,0.000106,0.922,-14.162,0.0675,0.175,163.219,1
Good Vibrations (Mono),The Beach Boys,219146,0.398,0.413,0.0822,2.54e-05,0.0891,-10.934,0.0388,0.331,133.574,4
Johnny B Goode,Chuck Berry,160892,0.518,0.756,0.735,6.2e-05,0.317,-10.851,0.0915,0.968,166.429,2
Respect,Aretha Franklin,147600,0.805,0.558,0.164,2.2e-05,0.0546,-5.226,0.041,0.965,114.95,2
Be My Baby,The Ronettes,160906,0.511,0.769,0.181,0.0,0.0921,-7.032,0.042,0.818,129.657,2
What's Going On,Marvin Gaye,233000,0.282,0.716,0.451,0.0,0.399,-9.632,0.0985,0.83,201.958,4
I Heard It Through The Grapevine,Marvin Gaye,195266,0.729,0.324,0.195,0.0,0.101,-13.017,0.0393,0.679,116.855,2
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones,222813,0.725,0.853,0.0348,0.127,0.196,-7.842,0.0353,0.904,136.282,2
Billie Jean,Michael Jackson,293826,0.92,0.654,0.0236,0.0158,0.0359,-3.051,0.0401,0.847,117.046,2
Heartbreak Hotel,Elvis Presley,128039,0.688,0.223,0.849,2.1e-06,0.0974,-11.476,0.0619,0.701,93.551,0
Born to Run,Bruce Springsteen,269200,0.253,0.868,0.0511,0.0,0.214,-9.773,0.073,0.68,146.647,4
My Generation - Original Mono Version,The Who,197320,0.332,0.822,0.165,9.33e-05,0.161,-6.558,0.0988,0.745,96.253,4
Love Will Tear Us Apart,Joy Division,206866,0.443,0.956,5.24e-05,0.825,0.135,-6.198,0.0511,0.909,146.754,3
God Only Knows - Mono / 1997 Remastered,The Beach Boys,173040,0.521,0.487,0.253,0.0,0.0579,-7.525,0.0299,0.483,117.072,4
(Sittin' On) the Dock of the Bay,Otis Redding,166826,0.484,0.312,0.724,1.65e-06,0.0601,-13.522,0.0535,0.598,205.981,0
Hey Ya! - Radio Mix / Club Mix,Outkast,235213,0.719,0.967,0.0588,0.000249,0.206,-2.435,0.0552,0.964,79.505,2
Anarchy In The UK - Remastered 2012,Sex Pistols,212480,0.359,0.949,0.0556,0.000396,0.236,-7.649,0.101,0.212,134.118,4
Paper Planes,M.I.A.,205200,0.541,0.854,0.0254,0.000125,0.651,-6.196,0.155,0.454,86.044,1
London Calling,The Clash,199733,0.653,0.797,0.0738,0.0,0.0847,-6.958,0.048,0.726,133.725,2
Sympathy For The Devil,The Rolling Stones,377746,0.566,0.673,0.565,1.13e-06,0.0438,-10.814,0.306,0.583,114.385,6
Strawberry Fields Forever - Remastered,The Beatles,247320,0.39,0.502,0.336,0.000138,0.0713,-12.277,0.178,0.289,97.871,0
Tutti Frutti,Little Richard,146640,0.532,0.591,0.782,0.0,0.0647,-3.81,0.0591,0.962,184.4,2
Stairway To Heaven,Led Zeppelin,478173,0.346,0.335,0.575,0.00674,0.185,-12.453,0.0339,0.213,84.204,0
The Message (feat. Melle Mel & Duke Bootee),Grandmaster Flash & The Furious Five,431800,0.947,0.607,0.0249,4.76e-06,0.0861,-10.58,0.202,0.732,100.619,6
What'd I Say,Ray Charles,386560,0.506,0.618,0.657,2.31e-05,0.248,-11.278,0.0708,0.789,89.023,2
Imagine - Remastered 2010,John Lennon,187866,0.547,0.257,0.907,0.183,0.0935,-12.358,0.0252,0.169,75.752,0
A Change Is Gonna Come,Sam Cooke,191160,0.214,0.4,0.756,0.0,0.325,-10.042,0.0342,0.508,169.683,0
Heroes - 1999 Remaster,David Bowie,370373,0.478,0.774,0.000265,0.585,0.191,-6.977,0.0292,0.429,112.577,3
When Doves Cry,Prince,352906,0.729,0.989,0.0102,4.45e-05,0.443,-4.613,0.049,0.84,126.47,1
Superstition,Stevie Wonder,266160,0.609,0.657,0.0308,0.00221,0.071,-11.496,0.0695,0.872,100.607,2
Common People,Pulp,350373,0.319,0.839,0.00596,7.99e-05,0.0764,-7.341,0.0404,0.538,144.938,4
Gimme Shelter,The Rolling Stones,270773,0.63,0.616,0.463,0.0408,0.173,-8.128,0.0309,0.509,118.65,2
Strange Fruit,Billie Holiday,189360,0.304,0.104,0.963,0.000291,0.177,-15.835,0.0313,0.0608,81.02,0
You Really Got Me,The Kinks,133573,0.571,0.908,0.412,1.19e-06,0.0802,-8.208,0.0907,0.958,137.43,2
Crazy In Love (feat. Jay-Z),Beyoncé,236133,0.646,0.77,0.00249,0.0,0.0715,-6.596,0.226,0.681,99.165,6
Seven Nation Army,The White Stripes,231920,0.745,0.466,0.00666,0.35,0.272,-7.62,0.0864,0.303,123.889,3
Losing My Religion,R.E.M.,267733,0.672,0.841,0.0767,0.0,0.135,-5.992,0.0285,0.82,125.437,2
God Save The Queen,Sex Pistols,199453,0.304,0.901,0.00105,0.000376,0.158,-7.756,0.0602,0.541,147.199,4
Bohemian Rhapsody - Remastered 2011,Queen,354320,0.414,0.404,0.271,0.0,0.3,-9.928,0.0499,0.224,71.105,0
Blue Monday,New Order,447013,0.757,0.758,0.00708,0.831,0.112,-7.873,0.0512,0.918,130.505,3
Purple Haze,Jimi Hendrix,170813,0.533,0.905,0.00876,0.578,0.0698,-5.27,0.0754,0.486,108.9,3
Louie Louie,The Kingsmen,165381,0.623,0.709,0.102,0.0,0.0967,-9.818,0.0636,0.948,122.394,2
I Want You Back,The Jackson 5,176333,0.639,0.548,0.29,9.68e-05,0.366,-13.534,0.0394,0.887,98.359,2
Crazy,Gnarls Barkley,177466,0.855,0.587,0.0505,0.00714,0.105,-4.589,0.0336,0.64,111.97,2
You've Lost That Lovin' Feelin' - Single Version,The Righteous Brothers,224000,0.357,0.389,0.569,0.0,0.099,-9.702,0.0269,0.324,94.211,0
Hey Jude - Remastered,The Beatles,429933,0.394,0.566,0.0304,3.64e-05,0.101,-9.435,0.0261,0.631,148.029,4
Waterloo Sunset - Stereo,The Kinks,193293,0.517,0.692,0.253,0.0,0.172,-7.273,0.0246,0.476,107.958,4
Take Me Out,Franz Ferdinand,239026,0.273,0.665,0.000458,0.000893,0.117,-8.795,0.0382,0.514,104.656,4
Get Ur Freak On,Missy Elliott,237066,0.78,0.787,0.533,0.134,0.122,-6.653,0.209,0.668,177.835,6
That'll Be the Day,The Crickets,136853,0.654,0.523,0.8,0.0,0.285,-8.053,0.0349,0.851,126.819,2
Light My Fire,The Doors,429760,0.413,0.725,0.369,2.16e-05,0.0905,-5.787,0.0324,0.44,124.618,4
I Feel Love,Donna Summer,201734,0.639,0.659,0.0166,0.633,0.116,-16.098,0.0491,0.92,126.436,3
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,244586,0.523,0.769,0.04,0.0,0.136,-5.855,0.0269,0.876,136.162,2
Space Oddity - 2009 Remastered Version,David Bowie,317026,0.337,0.365,0.0788,3.84e-05,0.202,-15.091,0.0318,0.497,136.264,0
Stand by Me,Ben E. King,175493,0.632,0.232,0.428,4.95e-06,0.215,-12.326,0.0318,0.673,119.136,0
Mr. Tambourine Man,The Byrds,149466,0.456,0.47,0.513,3.76e-05,0.444,-9.564,0.0294,0.639,120.336,1
Bitter Sweet Symphony,The Verve,358426,0.389,0.889,0.0415,0.0,0.463,-6.546,0.0442,0.524,171.121,4
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,129400,0.77,0.812,0.384,2.34e-06,0.122,-9.013,0.145,0.897,90.984,2
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,423840,0.404,0.903,0.577,0.297,0.287,-3.88,0.0668,0.498,115.672,4
River Deep - Mountain High,Ike & Tina Turner,219133,0.324,0.641,0.189,8.47e-05,0.109,-11.12,0.0451,0.308,83.901,4
Unfinished Sympathy - 2006 Digital Remaster,Massive Attack,312293,0.592,0.891,0.0145,0.141,0.394,-5.637,0.0316,0.717,114.348,1
Loser,Beck,234960,0.595,0.617,0.0343,0.000135,0.383,-10.455,0.117,0.823,85.387,2
Fight The Power,Public Enemy,282640,0.798,0.586,0.00556,2.34e-06,0.473,-13.001,0.255,0.381,105.979,6
Once in a Lifetime - 2005 Remaster,Talking Heads,259906,0.644,0.919,0.181,0.134,0.622,-6.289,0.0561,0.871,117.459,1
Paranoid Android,Radiohead,383506,0.328,0.762,0.0342,0.00876,0.198,-8.651,0.0476,0.274,125.75,4
Whole Lotta Love - Remaster,Led Zeppelin,334555,0.401,0.893,0.0617,0.0391,0.164,-11.171,0.437,0.406,87.979,6
Alright,Kendrick Lamar,219333,0.796,0.766,0.0742,0.0,0.0827,-5.974,0.238,0.558,110.034,6
House of the Rising Sun,The Animals,269906,0.316,0.484,0.000334,0.00445,0.0912,-9.11,0.0308,0.299,117.363,4
Walk on the Wild Side,Lou Reed,253960,0.564,0.262,0.652,0.000204,0.0896,-19.746,0.105,0.376,104.5,0
Hotel California,Eagles,390266,0.55,0.593,0.00511,0.00127,0.106,-7.619,0.0258,0.543,147.617,4
99 Problems,JAY-Z,234626,0.494,0.887,0.00661,0.0,0.103,-4.297,0.398,0.548,89.554,6
Dancing On My Own,Robyn,288670,0.687,0.865,0.0743,0.225,0.0966,-4.663,0.0349,0.261,117.015,4
Formation,Beyoncé,206080,0.896,0.621,0.00532,0.0,0.196,-6.857,0.237,0.818,121.966,6
Let's Stay Together,Al Green,199506,0.762,0.244,0.388,0.0137,0.0663,-18.114,0.0551,0.558,101.57,0
Jumpin' Jack Flash,The Rolling Stones,222280,0.575,0.909,0.0582,0.238,0.0724,-8.003,0.0654,0.693,137.335,4
All My Friends,LCD Soundsystem,462266,0.701,0.788,0.148,0.625,0.0977,-5.611,0.0425,0.795,142.584,3
California Dreamin',The Mamas & The Papas,157960,0.554,0.667,0.628,0.0,0.0486,-10.226,0.0342,0.597,112.749,2
Blitzkrieg Bop - 2001 Remaster,Ramones,132733,0.535,0.784,0.00557,0.171,0.0852,-5.073,0.0484,0.962,176.241,2
Dancing In The Street,Martha Reeves & The Vandellas,159920,0.543,0.807,0.0567,0.000858,0.32,-5.973,0.0359,0.685,126.157,4
Hound Dog,Elvis Presley,136160,0.355,0.722,0.712,0.00309,0.805,-9.338,0.0498,0.946,176.708,1
Oblivion,Grimes,251266,0.697,0.529,0.115,0.901,0.0895,-8.838,0.0338,0.486,155.974,3
I Want To Hold Your Hand - Remastered,The Beatles,146533,0.492,0.722,0.581,4.47e-06,0.354,-6.348,0.0395,0.926,130.97,2
All Along the Watchtower,Jimi Hendrix,240800,0.438,0.805,0.00255,5.69e-05,0.0842,-6.237,0.0624,0.564,113.253,4
Nothing Compares 2 U,Sinéad O'Connor,280040,0.511,0.574,0.0425,2.33e-05,0.105,-7.016,0.0273,0.161,119.917,4
How Soon Is Now? - 2011 Remaster,The Smiths,408173,0.398,0.93,0.000854,0.121,0.0874,-6.76,0.0615,0.725,190.818,4
Sweet Child O' Mine,Guns N' Roses,356000,0.45,0.904,0.0872,0.108,0.102,-7.736,0.046,0.689,125.072,4
For What It's Worth,Buffalo Springfield,153693,0.653,0.519,0.406,0.0209,0.101,-10.164,0.0497,0.822,98.883,2
The Weight - Remastered,The Band,278626,0.63,0.519,0.225,4.3e-06,0.0974,-10.997,0.0528,0.502,143.942,2
Runaway,Kanye West,547733,0.383,0.579,0.198,0.00184,0.517,-3.765,0.103,0.103,86.522,1
Ghost Town - Extended Version,The Specials,359173,0.666,0.654,0.0547,0.702,0.341,-11.691,0.0926,0.898,73.687,3
Royals,Lorde,190185,0.674,0.428,0.121,0.0,0.132,-9.504,0.122,0.337,84.878,2
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,248413,0.794,0.811,0.0426,1.07e-06,0.101,-8.966,0.038,0.862,116.047,2
Suspicious Minds,Elvis Presley,260973,0.477,0.378,0.0377,3.49e-06,0.453,-11.225,0.03,0.688,116.393,1
Life On Mars? - 1999 Remastered Version,David Bowie,223413,0.44,0.591,0.53,1.03e-05,0.171,-7.859,0.0369,0.373,121.398,4
Reach Out I'll Be There - Single Version / Mono,Four Tops,179666,0.619,0.803,0.0703,0.0,0.27,-3.521,0.0317,0.73,119.538,2
That's All Right Mama,Elvis Presley,120266,0.649,0.473,0.73,4.92e-05,0.176,-7.875,0.0324,0.658,105.048,2
Get Up (I Feel Like Being A) Sex Machine - Pt. 1 & 2,James Brown,316253,0.825,0.812,0.319,4.58e-05,0.267,-4.663,0.108,0.847,108.352,2
Wonderwall,Oasis,258906,0.413,0.85,0.00228,0.0,0.124,-5.593,0.0362,0.481,174.423,4
Heroin,The Velvet Underground,433573,0.209,0.79,0.29,0.798,0.0999,-10.12,0.0956,0.251,145.233,3
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,173866,0.35,0.573,0.741,2.03e-05,0.171,-11.34,0.0317,0.562,163.654,0
Thunder Road,Bruce Springsteen,287360,0.374,0.606,0.667,1.23e-06,0.25,-10.836,0.0347,0.649,140.267,0
One,U2,276186,0.544,0.542,0.268,0.00197,0.114,-8.624,0.0294,0.339,90.472,4
I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground,279520,0.68,0.632,0.027,0.868,0.146,-9.642,0.0469,0.863,125.894,3
The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles,177733,0.521,0.386,0.727,0.0,0.33,-7.72,0.0292,0.709,95.793,0
Yesterday - Remastered,The Beatles,125666,0.332,0.179,0.879,0.0,0.0886,-11.83,0.0326,0.315,96.529,0
Dancing Queen,ABBA,230400,0.543,0.87,0.358,0.000939,0.792,-6.514,0.0428,0.754,100.804,1
Summertime Blues,Eddie Cochran,120000,0.721,0.82,0.387,0.000326,0.198,-10.32,0.0448,0.966,155.968,2
This Charming Man - 2011 Remaster,The Smiths,162920,0.611,0.846,0.00509,0.0,0.0784,-5.9,0.0436,0.751,103.912,2
Blue Suede Shoes,Carl Perkins,137053,0.516,0.665,0.247,0.000986,0.191,-8.206,0.034,0.965,168.795,2
Good Times,CHIC,495400,0.87,0.657,0.149,0.0102,0.053,-7.32,0.0522,0.893,110.596,2
Pyramids,Frank Ocean,592920,0.4,0.65,0.0118,7.62e-05,0.791,-6.104,0.0466,0.15,107.989,1
My Girl - Single Version/Mono,The Temptations,175813,0.571,0.593,0.558,0.0,0.257,-4.75,0.0453,0.572,105.014,2
Paint It Black,The Rolling Stones,224133,0.504,0.845,0.0139,0.0419,0.359,-7.799,0.0938,0.736,159.508,4
Video Games,Lana Del Rey,281960,0.236,0.249,0.811,1e-06,0.087,-9.595,0.0348,0.181,72.847,0
Rehab,Amy Winehouse,213760,0.42,0.873,0.0408,2.17e-06,0.568,-2.963,0.0685,0.728,72.858,1
Rapper's Delight - Long Version,The Sugarhill Gang,873733,0.847,0.828,0.385,0.0,0.393,-8.51,0.296,0.884,111.045,5
The Sound of Silence - Electric Version,Simon & Garfunkel,185253,0.44,0.466,0.17,1.03e-06,0.118,-9.712,0.0284,0.543,107.744,4
Fortunate Son,Creedence Clearwater Revival,140773,0.648,0.678,0.221,0.00456,0.143,-7.461,0.0392,0.667,132.729,2
Papa's Got A Brand New Bag - Pt. 1,James Brown,126506,0.761,0.787,0.542,0.148,0.0826,-5.672,0.104,0.89,130.311,2
Bridge over Troubled Water,Simon & Garfunkel,293546,0.316,0.199,0.846,0.000649,0.121,-14.099,0.0275,0.233,82.814,0
"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers,427800,0.649,0.673,0.249,0.0351,0.726,-9.35,0.0638,0.587,78.535,1
Proud Mary,Creedence Clearwater Revival,187213,0.699,0.641,0.13,0.000218,0.0601,-7.564,0.0289,0.728,120.745,2
Every Breath You Take - Remastered 2003,The Police,253250,0.82,0.452,0.543,0.00294,0.0701,-9.796,0.0348,0.74,117.401,2
Maybellene - Single Version,Chuck Berry,143240,0.757,0.761,0.772,0.0,0.191,-10.692,0.139,0.771,118.181,2
A Whiter Shade Of Pale,Procol Harum,243800,0.305,0.548,0.65,0.000546,0.184,-8.839,0.0336,0.36,74.586,0
Midnight City,M83,243960,0.507,0.729,0.0182,1.4e-06,0.0658,-5.399,0.0393,0.272,105.013,4
Losing My Edge,LCD Soundsystem,473066,0.769,0.959,0.000208,0.631,0.331,-8.717,0.0634,0.893,116.168,3
I'm So Lonesome I Could Cry - Single Version,Hank Williams,166000,0.667,0.216,0.888,0.0025,0.132,-12.918,0.0298,0.659,111.088,0
Eight Miles High,The Byrds,214640,0.364,0.768,0.21,0.136,0.503,-10.492,0.0757,0.37,130.602,1
Born Slippy (Nuxx),Underworld,456480,0.576,0.953,0.00106,0.49,0.474,-8.968,0.0362,0.303,140.042,3
Great Balls Of Fire,Jerry Lee Lewis,110866,0.563,0.508,0.416,0.0,0.526,-15.044,0.0638,0.849,79.436,1
Green Onions - 45 Version,Booker T. & the M.G.'s,167384,0.788,0.38,0.811,0.906,0.102,-15.179,0.0346,0.892,138.205,3
Maps,Yeah Yeah Yeahs,219760,0.523,0.939,0.000803,0.201,0.544,-5.972,0.0619,0.164,119.839,1
Umbrella,Rihanna,275986,0.583,0.829,0.00864,0.0,0.0426,-4.603,0.134,0.575,174.028,4
She Loves You - Remastered,The Beatles,141333,0.391,0.87,0.218,0.0,0.154,-5.939,0.0437,0.924,75.546,2
Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees,285373,0.704,0.834,0.0291,0.00492,0.147,-7.131,0.0358,0.923,103.555,2
Tangled up in Blue,Bob Dylan,341626,0.421,0.661,0.414,1.16e-06,0.0962,-13.126,0.0433,0.554,100.965,0
Maggie May,Rod Stewart,350266,0.605,0.574,0.559,0.113,0.0684,-10.536,0.0377,0.543,129.449,2
Will You Still Love Me Tomorrow,The Shirelles,163773,0.574,0.44,0.654,3.36e-05,0.302,-7.847,0.0314,0.648,136.927,2
Seasons (Waiting On You),Future Islands,226440,0.498,0.721,0.136,0.7,0.0933,-5.232,0.0282,0.589,140.027,3
Creep,Radiohead,235666,0.532,0.344,0.00563,0.000473,0.115,-13.057,0.035,0.126,91.834,0
Be-Bop-A-Lula,Gene Vincent & His Blue Caps,157206,0.607,0.561,0.421,0.0,0.298,-10.099,0.0425,0.841,127.638,2
Paranoid,Black Sabbath,167933,0.418,0.668,0.000143,0.00113,0.173,-11.297,0.082,0.379,162.663,4
Heart Of Glass [24-Bit Digitally Remastered 01],Blondie,350240,0.662,0.633,0.0078,0.0233,0.0689,-7.793,0.0433,0.657,115.007,2
Kashmir - 1990 Remaster,Led Zeppelin,508200,0.48,0.536,0.488,4.22e-05,0.155,-11.166,0.0427,0.581,80.617,0
Walk This Way (feat. Aerosmith),Run–D.M.C.,310386,0.761,0.711,0.0174,0.000101,0.0652,-7.989,0.0604,0.947,105.448,2
Like a Prayer,Madonna,340866,0.66,0.629,0.432,7.3e-05,0.172,-12.359,0.0387,0.324,111.926,0
Marquee Moon - Remastered,Television,645000,0.494,0.657,0.0632,0.449,0.0849,-7.543,0.0397,0.737,118.194,5
Hotline Bling,Drake,267023,0.896,0.623,0.00257,0.000258,0.039,-8.008,0.0571,0.585,134.962,2
Live Forever,Oasis,276866,0.143,0.781,1.26e-05,7.09e-06,0.371,-5.442,0.0354,0.229,90.063,4
Time to Pretend,MGMT,261000,0.438,0.94,8.74e-05,0.0777,0.3,-3.249,0.0452,0.421,100.99,4
When a Man Loves a Woman,Percy Sledge,173866,0.516,0.15,0.13,0.0755,0.122,-20.41,0.0272,0.205,97.398,0
Brown Sugar,The Rolling Stones,229760,0.65,0.831,0.107,0.00032,0.0773,-6.721,0.031,0.965,128.56,2
"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart,166466,0.244,0.0447,0.912,0.000137,0.15,-21.155,0.0409,0.226,81.165,0
Tomorrow Never Knows - Remastered,The Beatles,179546,0.38,0.829,8.4e-05,0.00208,0.342,-6.105,0.0405,0.0534,125.887,4
This Land is Your Land,Woody Guthrie,139693,0.497,0.0919,0.968,0.00214,0.133,-15.685,0.0704,0.548,206.431,0
"Oh, Pretty Woman",Roy Orbison,178786,0.693,0.488,0.404,4.72e-06,0.0985,-14.338,0.0346,0.97,125.34,2
Jailhouse Rock,Elvis Presley,146413,0.654,0.619,0.431,1.08e-06,0.0608,-8.562,0.0818,0.9,166.841,2
Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z,277400,0.495,0.933,0.0294,0.0,0.503,-3.977,0.395,0.815,173.414,6
I Bet You Look Good On The Dancefloor,Arctic Monkeys,173680,0.535,0.948,0.00225,0.0,0.376,-4.19,0.0356,0.778,103.183,1
Like a Virgin,Madonna,218626,0.771,0.655,0.152,0.00197,0.0685,-10.842,0.0372,0.97,119.747,2
Into the Groove,Madonna,285093,0.729,0.856,0.0658,0.00832,0.0691,-4.164,0.035,0.804,116.467,2
Let It Happen,Tame Impala,467586,0.602,0.881,0.00462,0.0266,0.111,-5.875,0.0443,0.577,125.012,4
Cranes in the Sky,Solange,250973,0.719,0.615,0.408,0.000147,0.235,-5.972,0.045,0.465,96.988,2
Song 2 - 2012 Remaster,Blur,121160,0.674,0.789,0.00178,0.0071,0.0754,-6.903,0.0676,0.918,129.804,2
Purple Rain,Prince,527826,0.371,0.532,0.0527,0.00591,0.677,-8.736,0.0315,0.183,112.923,1
Wuthering Heights,Kate Bush,269066,0.481,0.392,0.366,0.0452,0.124,-11.381,0.0312,0.52,124.572,0
Born In The U.S.A.,Bruce Springsteen,278826,0.397,0.861,0.00201,2.49e-05,0.35,-12.156,0.0569,0.512,121.856,4
Kids,MGMT,302840,0.451,0.931,0.00076,0.0049,0.361,-3.871,0.0719,0.172,122.961,4
"Nuthin' But A ""G"" Thang",Dr. Dre,238466,0.801,0.699,0.00575,0.0,0.146,-8.18,0.279,0.655,94.605,6
Peggy Sue - Single Version,Buddy Holly,150066,0.659,0.515,0.818,0.0,0.179,-7.912,0.0296,0.602,149.126,2
White Rabbit,Jefferson Airplane,150640,0.551,0.293,0.486,0.000273,0.0864,-12.503,0.0272,0.322,106.798,0
Kiss,Prince,226240,0.898,0.271,0.0135,0.00138,0.0461,-12.238,0.091,0.742,111.485,2
Sunday Bloody Sunday,U2,276573,0.543,0.936,0.378,0.000662,0.0446,-8.85,0.0505,0.752,101.678,2
Psycho Killer - 2005 Remaster,Talking Heads,261413,0.721,0.521,0.0708,0.00545,0.127,-8.123,0.0613,0.942,123.118,2
Tainted Love,Soft Cell,153800,0.5,0.501,0.462,0.0,0.26,-8.284,0.0376,0.623,144.438,4
Little Red Corvette,Prince,296906,0.748,0.746,0.281,3.31e-05,0.632,-9.721,0.111,0.709,123.144,1
Family Affair - Single Version,Sly & The Family Stone,185533,0.819,0.605,0.669,0.0163,0.199,-13.83,0.132,0.797,108.892,2
Can't Get You out of My Head,Kylie Minogue,230640,0.766,0.563,0.0263,0.683,0.115,-7.516,0.0339,0.964,126.007,3
Honky Tonk Women - Mono Version,The Rolling Stones,179693,0.558,0.71,0.435,0.0144,0.0838,-8.521,0.0621,0.963,120.435,2
Your Best American Girl,Mitski,212183,0.36,0.257,0.0159,0.00512,0.226,-9.655,0.0315,0.13,76.972,0
Autobahn - 2009 Remaster,Kraftwerk,1367093,0.333,0.497,0.105,0.872,0.129,-15.606,0.0366,0.113,81.681,5
My Girls,Animal Collective,342786,0.511,0.95,0.246,0.0514,0.902,-6.057,0.0811,0.537,119.973,1
Eleanor Rigby - Remastered,The Beatles,126533,0.581,0.28,0.936,1.56e-05,0.305,-9.091,0.0381,0.813,137.831,0
Get It On,T. Rex,265636,0.73,0.867,0.187,0.759,0.222,-6.818,0.0601,0.903,126.431,3
There She Goes,The La's,162186,0.533,0.761,0.013,0.829,0.207,-10.632,0.0298,0.917,122.777,3
Help! - Remastered,The Beatles,139560,0.534,0.725,0.188,0.0,0.0994,-7.576,0.0332,0.763,95.003,2
House Of Jealous Lovers,The Rapture,304786,0.729,0.761,0.000333,0.368,0.308,-4.277,0.0354,0.763,130.007,2
Last Nite,The Strokes,193506,0.624,0.91,0.0285,0.000198,0.0789,-5.703,0.0297,0.767,104.042,2
Le Freak,CHIC,327573,0.867,0.746,0.0453,0.0,0.123,-7.445,0.0475,0.933,118.616,2
Won't Get Fooled Again - Original Album Version,The Who,511400,0.686,0.92,0.301,0.27,0.0807,-6.231,0.0566,0.225,135.027,4
In My Life - Remastered,The Beatles,146333,0.688,0.435,0.449,0.0,0.113,-11.359,0.0323,0.435,103.239,0
Hurt,Johnny Cash,218533,0.536,0.4,0.666,0.000906,0.0841,-7.717,0.0263,0.146,90.32,0
Ms. Jackson,Outkast,270506,0.843,0.806,0.143,0.0,0.0771,-5.946,0.269,0.613,94.948,6
Walk on By,Dionne Warwick,175533,0.687,0.454,0.896,4.98e-05,0.0796,-6.273,0.0298,0.623,98.967,0
Folsom Prison Blues,Johnny Cash,168640,0.726,0.463,0.716,6.19e-05,0.0909,-11.702,0.0269,0.846,99.998,2
Sign 'O' the Times - Single Version,Prince,223506,0.825,0.393,0.039,0.000908,0.0609,-10.875,0.0771,0.62,98.94,2
bad guy,Billie Eilish,194087,0.701,0.425,0.328,0.13,0.1,-10.965,0.375,0.562,135.128,6
Teenage Kicks,The Undertones,148186,0.41,0.737,0.000685,0.0,0.197,-8.07,0.0426,0.555,134.991,4
This Is America,Childish Gambino,225773,0.854,0.463,0.117,0.0,0.354,-6.159,0.137,0.549,120.024,2
Blowin' in the Wind,Bob Dylan,165426,0.38,0.0993,0.914,2.32e-05,0.0605,-20.567,0.0509,0.44,174.874,0
I Walk The Line - Single Version,Johnny Cash,163026,0.863,0.382,0.777,0.00103,0.109,-14.34,0.0464,0.744,105.766,0
Brown Eyed Girl,Van Morrison,183520,0.496,0.586,0.182,0.0,0.332,-10.991,0.0353,0.899,148.882,2
Blueberry Hill,Fats Domino,143733,0.534,0.435,0.513,0.0,0.0983,-9.801,0.0272,0.712,136.895,2
Planet Rock,Afrika Bambaataa,319960,0.915,0.807,0.011,0.000122,0.201,-9.636,0.13,0.708,127.35,2
Crazy,Patsy Cline,164880,0.57,0.129,0.897,0.0,0.0766,-15.559,0.033,0.346,70.062,0
Bo Diddley,Bo Diddley,151370,0.807,0.874,0.165,0.0,0.334,-5.808,0.0487,0.617,105.677,2
Subterranean Homesick Blues,Bob Dylan,141293,0.576,0.727,0.702,0.0,0.324,-9.973,0.05,0.751,173.854,2
Mr. Brightside,The Killers,222075,0.351,0.928,0.00113,0.0,0.0988,-3.71,0.0759,0.239,148.03,4
People Get Ready - Single Version,The Impressions,157480,0.423,0.227,0.486,0.000242,0.246,-15.978,0.0414,0.37,143.346,0
Virginia Plain,Roxy Music,178375,0.588,0.708,0.445,3.94e-05,0.293,-7.823,0.0351,0.579,131.197,2
Runaway,Del Shannon,138586,0.527,0.791,0.682,8.63e-06,0.129,-1.869,0.035,0.847,150.04,2
Baba O'Riley,The Who,300400,0.489,0.724,0.313,0.185,0.287,-8.367,0.0352,0.15,117.292,4
Go Your Own Way,Fleetwood Mac,218400,0.597,0.812,0.0219,0.00106,0.102,-12.062,0.0315,0.823,135.68,2
Two Weeks,FKA twigs,247547,0.48,0.717,0.0625,0.000685,0.0814,-6.663,0.23,0.335,109.756,6
(White Man) In Hammersmith Palais,The Clash,239746,0.654,0.753,0.237,2.81e-06,0.0491,-5.323,0.0441,0.757,102.743,2
(Don't Fear) The Reaper,Blue Öyster Cult,308440,0.368,0.928,0.00125,0.00111,0.301,-8.369,0.0593,0.532,141.175,4
Penny Lane - Remastered,The Beatles,180893,0.651,0.488,0.212,0.026,0.136,-8.22,0.0316,0.49,113.038,2
