song,artist,duration,danceability,energy,acousticness,instrumentalness,liveness,loudness,speechiness,valence,tempo,cluster
Joy To The World,Three Dog Night,214960,0.591,0.726,0.0384,2.49e-06,0.119,-13.545,0.0315,0.968,129.057,2
Space Cowboy,Kacey Musgraves,216280,0.447,0.429,0.718,0.0163,0.105,-7.36,0.028,0.074,116.521,0
Ten Percent,Double Exposure,427933,0.532,0.908,0.0333,2.42e-05,0.0728,-8.688,0.13,0.573,121.539,4
Well...All Right - Single Version,Buddy Holly,133333,0.707,0.537,0.831,0.0243,0.156,-9.717,0.04,0.873,124.418,2
Gangsta,Tune-Yards,238866,0.698,0.758,0.0983,0.0251,0.79,-6.841,0.086,0.311,101.973,1
All Through the Night,Cyndi Lauper,272840,0.573,0.65,0.201,1.58e-06,0.048,-5.934,0.0257,0.346,95.1,4
Child's Christmas In Wales,John Cale,200706,0.441,0.471,0.316,0.0106,0.12,-11.08,0.0302,0.247,105.791,0
Private Number,William Bell,158480,0.55,0.281,0.0243,0.0,0.613,-12.82,0.0259,0.581,102.663,1
Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,319360,0.831,0.682,0.256,0.0,0.494,-5.697,0.238,0.6,91.771,6
Save a Horse (Ride a Cowboy),Big & Rich,200306,0.7,0.896,0.108,0.0,0.453,-2.276,0.191,0.817,102.065,1
Do It Any Way You Wanna,People's Choice,198293,0.78,0.542,0.0107,0.306,0.0869,-10.99,0.0464,0.808,111.271,2
Every Time You Go Away,Paul Young,324346,0.608,0.604,0.169,0.000133,0.106,-12.285,0.0433,0.673,164.254,2
Mr Jelly Lord,Jelly Roll Morton,176786,0.73,0.0882,0.977,0.0248,0.317,-21.504,0.075,0.751,93.781,0
See A Little Light,Bob Mould,212066,0.552,0.774,0.0168,0.0,0.0701,-9.106,0.0292,0.783,110.906,2
Our House,"Crosby, Stills, Nash & Young",179760,0.593,0.205,0.896,5.46e-05,0.119,-14.601,0.0479,0.377,140.279,0
This Is Love,PJ Harvey,227533,0.589,0.705,5.33e-05,1.22e-05,0.161,-5.236,0.0292,0.394,112.402,4
Dress Rehearsal Rag,Leonard Cohen,366386,0.497,0.302,0.815,0.0,0.0994,-11.772,0.0342,0.176,95.423,0
Mouth Breather,The Jesus Lizard,137360,0.462,0.521,4.74e-06,0.00672,0.244,-17.275,0.0556,0.544,104.398,0
Sweet Music,Mocky,244426,0.875,0.538,0.709,0.0292,0.231,-8.366,0.196,0.628,101.054,6
Crime Pays,Freddie Gibbs,182680,0.608,0.699,0.139,0.0,0.242,-8.267,0.114,0.784,146.941,2
Sol de Invierno,Javiera Mena,264507,0.538,0.644,0.375,0.0286,0.111,-7.652,0.0298,0.467,180.05,4
Given to Fly,Pearl Jam,238866,0.317,0.764,0.000294,0.099,0.0996,-7.076,0.0282,0.341,101.173,4
La plus belle pour aller danser,Sylvie Vartan,155040,0.662,0.76,0.769,1.68e-05,0.131,-3.922,0.028,0.73,118.536,2
Alaska,Maggie Rogers,189400,0.837,0.312,0.313,0.0175,0.0923,-13.797,0.0702,0.145,104.008,0
Powerglide (feat. Juicy J) - From SR3MM,Rae Sremmurd,332300,0.713,0.831,0.0168,0.0,0.118,-4.75,0.15,0.584,173.948,4
The Man With The Red Face - Video Edit,Laurent Garnier,551493,0.693,0.731,0.0151,0.934,0.129,-11.019,0.0407,0.441,131.99,3
The Jump Off,Lil' Kim,234173,0.856,0.755,0.238,1.15e-05,0.0571,-8.513,0.34,0.926,104.961,6
John the Revelator,Blind Willie Johnson,196533,0.738,0.334,0.995,0.0675,0.564,-12.972,0.27,0.503,125.6,6
Heaven and Hell,Black Sabbath,417600,0.346,0.576,0.0156,0.0945,0.175,-11.495,0.0286,0.308,93.174,4
King Of Pain - Remastered 2003,The Police,299040,0.518,0.725,0.389,0.000192,0.0671,-8.854,0.0338,0.646,124.151,2
P-Funk (Wants To Get Funked Up),Parliament,461160,0.652,0.423,0.652,0.0,0.432,-14.232,0.248,0.778,88.107,6
Tangerine - Remaster,Led Zeppelin,191827,0.306,0.398,0.0857,6.02e-05,0.0756,-12.767,0.0412,0.0948,85.622,0
Alabama Song (Whisky Bar),The Doors,197400,0.568,0.645,0.543,0.0,0.191,-8.363,0.0416,0.901,170.676,2
Driva'man,Max Roach,318000,0.541,0.198,0.753,3.4e-05,0.295,-13.721,0.0414,0.54,99.395,0
Bushes - The First Re-Creation,Markus Nicolai,452826,0.858,0.596,0.0417,0.675,0.297,-10.264,0.113,0.84,124.017,3
Hands Around My Throat - D.I.V.,Death In Vegas,307533,0.745,0.763,0.00523,0.692,0.13,-5.533,0.0345,0.267,127.994,3
One Bad Apple,The Osmonds,163693,0.594,0.561,0.42,0.0,0.467,-8.878,0.0507,0.886,100.601,1
Loving the Alien - 1999 Remaster,David Bowie,427626,0.578,0.761,0.0191,0.00198,0.328,-7.622,0.0305,0.609,118.343,4
Let's Kill Saturday Night,Robbie Fulks,207413,0.32,0.962,0.00269,0.0476,0.993,-4.605,0.103,0.519,179.101,1
Klar,Jan Delay,295440,0.752,0.751,0.369,0.0,0.0553,-4.029,0.143,0.926,99.561,2
Fame,Irene Cara,314466,0.701,0.73,0.13,0.0,0.0923,-8.755,0.0318,0.938,130.532,2
Tall Cool One,The Wailers,153866,0.627,0.767,0.706,0.0737,0.076,-6.388,0.0276,0.865,124.412,2
Brennisteinn,Sigur Rós,464666,0.361,0.824,0.000591,0.0486,0.106,-6.037,0.0631,0.0985,120.666,4
New Summer,Young Galaxy,252746,0.62,0.667,0.503,0.537,0.275,-7.445,0.0275,0.39,145.052,3
Love Theme From Spartacus,Terry Callier,269373,0.442,0.0751,0.86,0.00271,0.135,-19.682,0.0391,0.26,109.227,0
Battle Flag,Lo Fidelity Allstars,339240,0.663,0.868,0.0399,3.43e-05,0.0485,-9.624,0.112,0.348,100.481,4
Be Not So Fearful,Bill Fay,164506,0.514,0.149,0.85,0.00118,0.107,-14.643,0.0328,0.357,125.402,0
Coma Cat - Radio Edit,Tensnake,177621,0.614,0.949,0.00482,0.215,0.298,-4.948,0.0468,0.733,118.987,2
Road Runner,Bo Diddley,167506,0.579,0.865,0.541,0.000431,0.39,-5.029,0.0555,0.964,131.956,1
Cubana Be,Dizzy Gillespie,160087,0.403,0.469,0.839,0.905,0.178,-10.701,0.0758,0.435,158.798,3
In A Broken Dream,Python Lee Jackson,255183,0.295,0.646,0.0355,0.00655,0.101,-5.846,0.0365,0.348,75.904,4
Vanessa,Grimes,324042,0.725,0.653,0.148,0.555,0.122,-8.094,0.0323,0.166,119.993,3
Blaxploitation,Noname,133056,0.891,0.827,0.091,1.53e-06,0.221,-6.139,0.351,0.861,100.987,6
Sometimes Always,The Jesus and Mary Chain,151960,0.447,0.725,0.00106,0.0157,0.105,-9.902,0.0292,0.597,116.286,4
The Word - Remastered,The Beatles,163106,0.59,0.641,0.00682,0.0,0.0553,-9.687,0.0416,0.792,120.773,2
The Mercy Seat,Johnny Cash,274200,0.425,0.512,0.73,0.0248,0.119,-8.196,0.0322,0.506,87.198,0
The Bitterest Pill (I Ever Had To Swallow),The Jam,213320,0.485,0.675,0.00717,0.0,0.087,-10.317,0.0314,0.867,112.385,2
"Sure 'Nuff 'n' Yes, I Do",Captain Beefheart & His Magic Band,134666,0.458,0.704,0.414,0.000161,0.334,-9.609,0.0578,0.846,115.79,2
"That's What Friends Are For (with Elton John, Gladys Knight & Stevie Wonder)",Dionne Warwick,256466,0.673,0.286,0.294,0.0,0.086,-14.643,0.0313,0.199,120.117,0
T.V. Eye - 2005 Remaster,The Stooges,257479,0.415,0.979,0.000148,0.287,0.561,-7.426,0.0547,0.494,132.619,1
Mandarine Girl,Booka Shade,342880,0.787,0.655,0.00222,0.886,0.129,-8.717,0.0484,0.531,127.986,3
Weight,Mikal Cronin,230230,0.233,0.784,0.0107,5.64e-06,0.0825,-5.004,0.0534,0.176,153.022,4
Real Wild Child (Wild One),Iggy Pop,218400,0.566,0.926,0.00182,0.122,0.281,-7.099,0.0327,0.963,146.271,2
