names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Danza Kuduro,spotify:track:1Ozm60BmF5AUjqVSb9FJRC,"['Lucenzo', 'Don Omar']",0,0.696,0.896,0,-6.049,1,0.109,0.0834,0.0,0.038,0.887,130.091,199333,4,1
She Makes Me Go - Radio Edit,spotify:track:1a5XzsdDDWR7HMwvmXtNlB,"['Arash', 'Sean Paul']",0,0.705,0.897,2,-2.988,0,0.035,0.0783,3.24e-06,0.202,0.534,133.013,178280,4,5
Problem,spotify:track:6xCNYRfzZtoQRo1xruPmNq,"['Ariana Grande', 'Iggy Azalea']",0,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.009,193920,4,5
Applause,spotify:track:2Zj4FUsMtu9PMuJsHbGbdv,['Lady Gaga'],0,0.669,0.78,7,-4.287,0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,212333,4,5
Sweet Nothing (feat. Florence Welch),spotify:track:24LS4lQShWyixJ0ZrJXfJ5,"['Calvin Harris', 'Florence Welch']",72,0.573,0.929,8,-3.942,0,0.109,0.197,0.000112,0.0567,0.582,127.934,212560,4,5
Locked out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,['Bruno Mars'],85,0.726,0.698,5,-4.165,1,0.0431,0.049,0.0,0.309,0.867,143.994,233478,4,6
She Wolf (Falling to Pieces) [feat. Sia],spotify:track:1SgdUjvppHnIp6L7DZSnwc,"['David Guetta', 'Sia']",67,0.492,0.857,7,-2.634,1,0.0655,0.0841,7.82e-06,0.344,0.393,129.973,222500,4,7
I Love It (feat. Charli XCX),spotify:track:1rhXXcrYp9RRObN5gsmqCU,"['Icona Pop', 'Charli XCX']",58,0.711,0.906,8,-2.671,1,0.0284,0.00952,1.64e-05,0.153,0.824,125.916,157153,4,6
Troublemaker (feat. Flo Rida),spotify:track:3raIDwS1IWxjBq48cE4E8h,"['Olly Murs', 'Flo Rida']",0,0.762,0.863,0,-3.689,0,0.0565,0.015,0.0,0.125,0.965,106.008,185587,4,5
Gangnam Style,spotify:track:1PKnaWkakd5CBjNv8NyaSK,['PSY'],0,0.725,0.937,11,-2.881,0,0.278,0.00425,0.0,0.0914,0.758,132.084,219493,4,2
Let Her Go,spotify:track:7DFNE7NO0raLIUbgzY2rzm,['Passenger'],74,0.509,0.538,7,-7.335,1,0.0572,0.385,0.0,0.104,0.244,75.089,252867,4,4
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],spotify:track:3gNNXc7GUgKRPR15W77eDR,"['Asaf Avidan & the Mojos', 'Wankelmut']",0,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0904,0.559,119.012,213187,4,5
Feel So Close - Radio Edit,spotify:track:1gihuPhrLraKYrJMAEONyc,['Calvin Harris'],79,0.707,0.924,7,-2.842,1,0.031,0.000972,0.00703,0.204,0.919,127.937,206413,4,6
Counting Stars,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,['OneRepublic'],75,0.664,0.705,1,-4.972,0,0.0382,0.0654,0.0,0.115,0.477,122.017,257840,4,5
Get Up (Rattle) - Vocal Edit,spotify:track:4W9KBjqf2lyUF6MdX0vsJm,"['Bingo Players', 'Far East Movement']",38,0.801,0.985,7,-2.69,1,0.0645,0.0205,6.86e-06,0.296,0.722,127.99,166933,4,6
When I Was Your Man,spotify:track:0nJW01T7XtvILxQgC5J7Wh,['Bruno Mars'],84,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4,4
Crazy Kids,spotify:track:2Qu4snHWjiF1bIIggf3R8i,['Kesha'],0,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128.03,230747,4,5
Bella Vita - DJ Antoine vs. Mad Mark 2K13 Radio Edit,spotify:track:6hp3KubrbcERP2g8ude9jR,['DJ Antoine'],46,0.722,0.844,10,-5.015,1,0.16,0.0138,0.0,0.166,0.563,125.038,203820,4,6
Impossible,spotify:track:5yVIlYEHZxQVLyInCdldoS,['James Arthur'],77,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,7
Trumpsta - Djuro Remix,spotify:track:5la4dy8Tc1M6X6BanOHZ2H,"['Contiez', 'Djuro', 'Treyy G']",33,0.958,0.539,1,-7.597,1,0.254,0.000723,0.744,0.134,0.211,128.0,258750,4,3
Dear Darlin',spotify:track:0ZAqidNny4qh1RwM6LjOir,['Olly Murs'],0,0.514,0.828,11,-4.672,0,0.0454,0.00626,8.73e-06,0.119,0.34,124.008,206373,4,5
