names,uri,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Do You Remember,spotify:track:5V53dAjgNInfXNlz2cryvd,['Jarryd James'],52,0.669,0.302,1,-10.896,0,0.0674,0.198,0.000345,0.115,0.299,71.988,234866,4,4
Want to Want Me,spotify:track:7oGZAicScQt96OAW4AruYy,['Jason Derulo'],75,0.775,0.68,0,-5.508,0,0.0629,0.00906,0.0,0.109,0.656,114.025,207719,4,5
Trumpets,spotify:track:6jizk5lOUnfpaZXYMdfeC6,['Jason Derulo'],67,0.627,0.703,0,-4.884,1,0.236,0.563,0.0,0.0962,0.64,81.897,217307,4,1
Do You Remember,spotify:track:6A5NlmBCsCGbJ27jHQgKV5,"['Jay Sean', 'Sean Paul', 'Lil Jon']",70,0.854,0.674,11,-4.896,1,0.0705,0.0204,0.0,0.101,0.818,125.845,210800,4,6
I'll Be Good,spotify:track:5WLSak7DN3LY1K71oWYuoN,['Jaymes Young'],58,0.455,0.284,7,-10.774,1,0.0322,0.715,1.47e-06,0.0897,0.133,133.936,248554,3,0
Hold My Hand,spotify:track:1i1rNVtxbE7rdFfpHuNq2j,['Jess Glynne'],61,0.642,0.823,0,-5.717,1,0.0289,0.00159,0.0,0.0776,0.431,122.977,227344,4,1
Don't Be so Hard on Yourself,spotify:track:0sUyqewVzwv0e5tK3hS6vJ,['Jess Glynne'],63,0.571,0.815,6,-3.267,1,0.0321,0.0608,0.0,0.163,0.664,120.008,211460,4,6
First Day of My Life (Studio),spotify:track:7KnG0YU5hSw1Wtid3f23qz,['Jesse Daniel Smith'],0,0.667,0.388,4,-11.244,1,0.0574,0.854,2.08e-05,0.111,0.247,88.079,197512,4,4
This Is Why I Need You,spotify:track:5s8zxMu4zY7ZulURxvxj3s,['Jesse Ruben'],44,0.519,0.324,3,-14.665,1,0.0354,0.798,0.00158,0.104,0.3,79.837,224107,4,4
This Ain't Love,spotify:track:6fEXiC1IxVWU0nxr4lpnz4,['Jessica Mauboy'],38,0.558,0.795,0,-4.333,1,0.059,0.00485,0.000404,0.285,0.543,82.49,206982,4,1
Domino,spotify:track:6MAdEUilV2p9RQUqE5bMAK,['Jessie J'],66,0.757,0.547,7,-4.573,1,0.0355,0.0115,0.0,0.0445,0.793,126.977,231693,4,6
"Take Me Home, Country Roads - Rerecorded",spotify:track:2xYlyywNgefLCRDG8hlxZq,['John Denver'],2,0.255,0.43,9,-12.564,1,0.0322,0.546,1.87e-05,0.188,0.546,164.267,197813,4,4
Boy,spotify:track:0V7lYu1w8L0WXjPEaUBoPt,['John Mark Nelson'],0,0.597,0.424,4,-11.449,1,0.0311,0.706,6.55e-06,0.114,0.525,89.925,237728,4,4
Say,spotify:track:6wZI4mdT8JwXgkGURnBQiq,['John Mayer'],60,0.485,0.723,10,-6.565,1,0.0317,0.541,1.12e-06,0.075,0.541,167.845,230213,4,7
Love Me Again,spotify:track:3CvRHWTTER3tsaLPAL2Yxv,['John Newman'],0,0.5,0.891,2,-4.703,0,0.0433,0.00485,0.000204,0.0969,0.227,126.024,239894,4,5
Sour Grapes,spotify:track:7tHDo6DikGmtI66DtvxvfH,['John the Ghost'],26,0.589,0.663,3,-7.397,1,0.0268,0.664,0.00301,0.111,0.218,92.025,253043,4,4
Everyone Is a DJ,spotify:track:0aJGZ7jPubQfnamQL3wkI5,['John the Ghost'],25,0.493,0.618,8,-7.886,1,0.0262,0.0128,0.00519,0.11,0.669,174.081,250000,4,7
All at Once,spotify:track:4zKE3RlC6pCCDH7YJpCGPK,['John the Ghost'],17,0.582,0.75,7,-8.507,1,0.0355,0.056,0.344,0.582,0.243,131.009,266107,4,7
Rockin' Around The Christmas Tree - Single Version,spotify:track:4DpVEultnARmTmB4Ghh6on,"['Johnny Marks', 'Brenda Lee']",0,0.669,0.545,5,-7.049,0,0.0552,0.689,0.0,0.163,0.807,70.828,125493,4,5
Don't Let It Get You Down,spotify:track:72BlyfR0zO3NWcLZQ1ARcK,['Johnnyswim'],0,0.69,0.657,7,-4.397,0,0.0372,0.0926,0.000209,0.12,0.501,140.005,200401,4,5
A Mirror Is Harder To Hold,spotify:track:5VCrFjmpI5DFybGpTGfEWn,['Jon Foreman'],0,0.596,0.246,4,-11.872,1,0.0308,0.821,0.0,0.0816,0.487,125.952,195827,4,4
She Said,spotify:track:6Kfq7dp30PAyOyRjAzJxKO,['Jon Foreman'],0,0.488,0.392,2,-11.329,1,0.031,0.309,0.0,0.151,0.244,82.021,264025,4,4
June & Johnny (feat. Sara Watkins),spotify:track:60K94fwJQhseyI6buusNbZ,"['Jon Foreman', 'Sara Watkins']",0,0.389,0.28,0,-13.69,1,0.032,0.616,0.0004,0.141,0.37,99.023,156504,4,4
By Your Side,spotify:track:1D3ODoXHBLpdxolZRHWV1j,"['Jonas Blue', 'RAYE']",0,0.696,0.743,6,-3.838,1,0.0331,0.0778,0.0,0.0581,0.644,122.978,201254,4,6
Heartbeats,spotify:track:2fi8X9Ma973SF22JbTZtHj,['José González'],0,0.397,0.148,3,-16.671,1,0.0366,0.976,0.775,0.0831,0.278,179.466,158240,4,4
Crosses,spotify:track:0ByKWq0hsuYriK5avSMJ5r,['José González'],52,0.667,0.372,11,-9.944,0,0.0296,0.905,0.0241,0.102,0.317,134.607,162920,4,4
Blue Notes,spotify:track:5oB41hgnihYFZeHd7DvFHf,['Jose Vanders'],18,0.481,0.132,0,-13.654,1,0.0757,0.905,0.000817,0.103,0.369,146.816,217800,4,4
Bread & Wine,spotify:track:6CgrS3cN3hBo4uCft5uFom,['Josh Garrels'],36,0.549,0.318,9,-11.546,1,0.0268,0.494,0.00551,0.124,0.161,111.075,234965,4,4
Summertime,spotify:track:0R7jEveeObAlacaN9rr48Y,['Josh Rouse'],0,0.841,0.336,7,-13.311,0,0.0408,0.594,0.0104,0.145,0.7,130.039,143120,4,4
Issues,spotify:track:1sXUWdKx03aP9Gmzft58rt,['Julia Michaels'],1,0.683,0.427,8,-6.827,1,0.0777,0.368,0.0,0.0604,0.426,113.634,176347,4,6
Never Say Never,spotify:track:4oVqFBvyYFzT5ZhNpmMRJA,"['Justin Bieber', 'Jaden']",0,0.74,0.801,2,-5.129,1,0.0735,0.0174,0.0,0.282,0.654,97.01,227853,4,1
Love Yourself,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,['Justin Bieber'],1,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,233720,4,2
Never Miss A Beat,spotify:track:0bXhjlgUddDlJzHOeVM4Tq,['Kaiser Chiefs'],56,0.499,0.899,0,-3.994,1,0.0382,2.19e-05,0.174,0.651,0.449,156.017,187320,4,7
Part Of Me,spotify:track:1nZzRJbFvCEct3uzu04ZoL,['Katy Perry'],74,0.678,0.918,5,-4.63,1,0.0355,0.000417,0.0,0.0744,0.769,130.028,216160,4,6
Roar,spotify:track:3bDGwl0X3EjQmIyFD1uif5,['Katy Perry'],0,0.56,0.756,7,-4.817,0,0.0415,0.00635,1.29e-05,0.55,0.404,179.771,223546,4,7
You,spotify:track:3AsfuEnwyMTHS7mbzcRUdV,['Keaton Henson'],53,0.298,0.151,8,-14.479,0,0.0341,0.769,0.00602,0.105,0.139,158.407,282680,3,0
DNA.,spotify:track:6HZILIRieu8S0iqY8kIKhj,['Kendrick Lamar'],78,0.638,0.523,1,-6.664,1,0.357,0.00454,0.0,0.0842,0.422,139.913,185947,4,2
Don't Mind,spotify:track:27PmvZoffODNFW2p7ehZTQ,['Kent Jones'],64,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777,198237,4,2
Gold,spotify:track:6ZSO7kPn8IMJFymyticbJO,['Kiiara'],65,0.6,0.412,8,-9.343,1,0.344,0.615,0.0025,0.134,0.408,113.049,225882,5,2
Jubel - Radio Edit,spotify:track:6INwti4FZM31l0lJDKbpxn,['Klingande'],53,0.686,0.524,0,-7.251,1,0.0343,0.649,0.0569,0.14,0.0951,124.938,201627,4,4
Brother,spotify:track:6dVa7xk5dOoT6pOkDw1TMH,['Kodaline'],0,0.493,0.636,10,-5.894,1,0.049,0.341,0.0,0.201,0.228,120.136,201980,4,6
Lamborghini,spotify:track:1mhdEO1cBTccQ3tknmM6ng,"['KSI', 'P Money']",0,0.856,0.872,6,-1.844,1,0.193,0.0481,0.0,0.0709,0.388,112.078,176429,5,6
Firestone,spotify:track:2sNvitW3TxiTeC9xT9f2ZZ,"['Kygo', 'Conrad Sewell']",19,0.486,0.652,11,-7.226,0,0.052,0.408,6.63e-05,0.077,0.391,113.055,273684,4,5
First Time,spotify:track:2Gl0FzuLxflY6nPifJp5Dr,"['Kygo', 'Ellie Goulding']",65,0.633,0.592,0,-7.245,0,0.112,0.197,0.0,0.099,0.679,90.066,193511,4,5
Stole the Show,spotify:track:4iZPNYqzI2L0uwuUKun7Aa,"['Kygo', 'Parson James']",16,0.679,0.662,8,-6.069,0,0.174,0.155,0.0,0.152,0.438,99.879,222801,4,5
iSpy (feat. Lil Yachty),spotify:track:2EEeOnHehOozLq4aS0n6SL,"['KYLE', 'Lil Yachty']",73,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,253107,4,2
Keeping Score (feat. Paige IV),spotify:track:3hoxxJChpzmFacuwfK4dyT,"['L D R U', 'Paige IV']",0,0.629,0.618,5,-5.51,0,0.0918,0.0245,0.0,0.0938,0.644,92.071,182950,4,5
Jealous,spotify:track:4L2K7JKseFCBoHMZEAszW0,['Labrinth'],7,0.439,0.153,1,-8.95,1,0.0479,0.874,0.0,0.107,0.104,116.76,287693,3,0
Just Dance,spotify:track:1dzQoRqT5ucxXVaAhTcT0J,"['Lady Gaga', ""Colby O'Donis""]",76,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,241933,4,5
Poker Face,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,['Lady Gaga'],78,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,237200,4,1
Bad Romance,spotify:track:1CZOrmHUUjeDP7N2B4Ba6S,['Lady Gaga'],0,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,294573,4,1
Going to California - 1990 Remaster,spotify:track:55sjCMeQM26VxbNHhMtj2b,['Led Zeppelin'],2,0.495,0.237,2,-17.701,1,0.0333,0.892,0.00638,0.0865,0.541,77.376,211467,4,4
Fight For Everyone,spotify:track:2nN3t4kpCHJMLBQPgukecZ,['The Leisure Society'],0,0.713,0.805,5,-6.065,1,0.0412,0.00707,0.0691,0.107,0.969,145.925,228467,4,6
How Could I Love You?,spotify:track:0y1H2yWQhf5ANqhEjoF2OC,['Little Hours'],0,0.501,0.651,10,-6.723,1,0.0492,0.639,3.04e-06,0.132,0.298,159.868,209515,4,7
Water,spotify:track:2j88lqgD6ZBHd8S1l3Kaa1,['Little Hours'],18,0.378,0.456,6,-8.171,0,0.0491,0.562,3.01e-05,0.0728,0.192,137.068,198080,4,4
Wings,spotify:track:4awRNvd5iC7QGVQOwSCffw,['Little Mix'],0,0.738,0.875,7,-3.141,1,0.127,0.000673,0.000556,0.285,0.538,114.962,219733,4,6
Shout Out to My Ex,spotify:track:0YHUITU3w6ws1v8ehT264g,['Little Mix'],0,0.774,0.739,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,246240,4,1
Party Rock Anthem,spotify:track:0IkKz2J93C94Ei4BvDop7P,"['LMFAO', 'Lauren Bennett', 'GoonRock']",68,0.75,0.727,5,-4.21,0,0.142,0.0189,0.0,0.266,0.359,129.993,262173,4,5
Mt. Washington,spotify:track:5BX9R694ZWdgyMEgswWvgY,['Local Natives'],49,0.482,0.362,6,-10.358,0,0.0299,0.19,0.00562,0.0913,0.174,76.879,198933,4,4
La vie en rose,spotify:track:0Yj7WP1MbAqQVQA5Na4I7E,['Louis Armstrong'],50,0.466,0.116,0,-9.831,1,0.0651,0.858,0.00979,0.116,0.375,70.106,204267,4,4
Words Don't Come So Easily - Alternative Version,spotify:track:3MKJIXghz2AdAaEc8ocliU,['Lower Than Atlantis'],0,0.758,0.393,0,-9.537,1,0.0371,0.339,0.000108,0.14,0.368,102.061,186987,4,4
Strong,spotify:track:4Ifp6Ohc69r1gYOxK2M3LF,['Lower Than Atlantis'],0,0.432,0.793,3,-3.891,1,0.033,0.000921,1.11e-05,0.0613,0.535,172.447,263680,4,7
A Thousand Miles,spotify:track:2nkjyaIp9CVxUj2B3l8TDu,['Lower Than Atlantis'],0,0.562,0.809,0,-5.269,1,0.0377,0.045,0.0069,0.0586,0.466,95.011,258493,4,1
Shiver,spotify:track:1ODA4mZMaoBzT1TbPBW8B1,['Lucy Rose'],52,0.423,0.183,9,-13.517,1,0.0344,0.715,4.25e-05,0.104,0.142,122.341,233013,3,0
Mama Said,spotify:track:5ArQzSBevAdXTxRY6Ulhbq,['Lukas Graham'],75,0.712,0.799,7,-4.564,0,0.0703,0.0447,6.4e-05,0.37,0.591,83.996,206903,4,5
Lot to Learn,spotify:track:3TRFq09DUgYj1mug6RRqJW,['Luke Christopher'],63,0.405,0.846,6,-3.57,1,0.195,0.0948,0.0,0.0666,0.602,82.232,248337,4,6
Bottled up Tight,spotify:track:7cKQE2K6ggLByzlIMtCxzu,['Luke Sital-Singh'],33,0.556,0.537,2,-7.74,1,0.0293,0.0499,9.06e-06,0.166,0.521,89.404,200253,4,1
Whip It! (feat. Chloe Angelides),spotify:track:4viUsO0ZnlZrVCM945K6on,"['LunchMoney Lewis', 'Chloe Angelides']",53,0.739,0.78,10,-3.942,1,0.143,0.345,0.0,0.0973,0.79,131.04,242973,4,6
Shining Down (feat. Matthew Santos),spotify:track:0hkRONsyMGzkhJGc56L5v0,"['Lupe Fiasco', 'Matthew Santos']",40,0.371,0.914,0,-3.413,1,0.0826,0.00667,0.0,0.265,0.646,144.887,274107,4,7
Can't Hold Us (feat. Ray Dalton),spotify:track:3BE0getU08uXas8ZjULABA,"['Macklemore & Ryan Lewis', 'Ray Dalton']",0,0.634,0.927,2,-4.468,1,0.0838,0.027,0.0,0.0986,0.88,146.094,258432,4,1
Same Love - feat. Mary Lambert,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,"['Macklemore & Ryan Lewis', 'Mary Lambert']",66,0.688,0.473,8,-9.059,1,0.167,0.716,4.46e-05,0.104,0.299,84.958,318525,4,4
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",spotify:track:5pfJsMwoRYKampPay8amX0,"['Macklemore', 'Ryan Lewis', 'Grandmaster Melle Mel', 'Grandmaster Caz', 'Kool Moe Dee', 'Eric Nally']",67,0.828,0.609,1,-4.402,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725,292593,4,1
Rude,spotify:track:6RtPijgfPKROxEzTHNRiDp,['MAGIC!'],80,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033,224840,4,1
Lean On (feat. MØ & DJ Snake),spotify:track:40mmMinc131YAL9ZuUSq3a,"['MØ', 'DJ Snake', 'Major Lazer']",21,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561,4,5
Powerful (feat. Ellie Goulding & Tarrus Riley),spotify:track:37suW3bz5VQQjNtMdGGe8F,"['Ellie Goulding', 'Major Lazer', 'Tarrus Riley']",18,0.598,0.792,11,-4.043,0,0.0478,0.121,0.0,0.158,0.732,97.479,206327,3,0
Light It Up (feat. Nyla & Fuse ODG) - Remix,spotify:track:7lF2jb4fv5KL4ODcqU3gwc,"['Major Lazer', 'Nyla', 'Fuse ODG']",54,0.746,0.877,9,-3.782,0,0.0666,0.0375,0.000833,0.233,0.751,107.985,166138,4,5
Alone,spotify:track:12mGwph2YzDIlChtq3EdXP,['Marshmello'],0,0.636,0.953,2,-3.74,1,0.0353,0.0244,0.0164,0.108,0.397,142.011,273803,4,1
Solo Dance,spotify:track:3R6dPfF2yBO8mHySW1XDAa,['Martin Jensen'],62,0.746,0.846,9,-2.432,1,0.048,0.0485,0.0,0.195,0.403,114.955,174933,4,6
Run,spotify:track:3o08VfBerU1436hEJdGeBb,"['Matt Nathanson', 'Sugarland']",28,0.619,0.652,11,-5.701,1,0.0312,0.015,5.77e-06,0.0835,0.204,109.99,249147,4,6
The Only Boy Awake,spotify:track:4tRt91OQSbE9eFA3RwgqSd,['Meadows'],57,0.52,0.48,5,-10.288,1,0.0303,0.61,0.0344,0.107,0.405,122.086,163294,4,4
Like I'm Gonna Lose You (feat. John Legend),spotify:track:2YlZnw2ikdb837oKMKjBkW,"['Meghan Trainor', 'John Legend']",80,0.63,0.53,0,-7.259,1,0.0434,0.4,0.0,0.177,0.417,108.038,225053,3,0
Once I Was Loved,spotify:track:4xrhEVDLlO6O58YQnJubCh,['Melody Gardot'],0,0.274,0.048,6,-20.839,1,0.0348,0.979,0.0527,0.106,0.119,76.669,290308,4,4
Love Me Like A River Does,spotify:track:6hVq5hRHRl5nihk5x1uapv,['Melody Gardot'],0,0.319,0.0993,0,-16.794,0,0.0477,0.926,0.00821,0.108,0.15,80.831,245867,4,4
Mountains,spotify:track:22v9ZVkWWAYjderL7ZWuuH,['Message To Bears'],53,0.569,0.572,6,-11.363,1,0.0265,0.64,0.56,0.0921,0.658,110.031,234000,4,4
Thriller,spotify:track:3mCHHqfRktiCRetZ1KiJHE,['Michael Jackson'],0,0.773,0.832,11,-5.759,1,0.0735,0.0981,0.000228,0.908,0.769,118.539,356373,4,6
Beat It - Single Version,spotify:track:6n5BpBMLfOy4uOLzmmZaEf,['Michael Jackson'],0,0.783,0.8,3,-5.703,0,0.0427,0.0398,3.64e-05,0.222,0.913,138.998,257600,4,5
Billie Jean - Single Version,spotify:track:6aLWY1Lax3ASlHzNAl2xRZ,['Michael Jackson'],0,0.923,0.582,11,-5.115,0,0.0417,0.0186,0.0366,0.0453,0.82,117.182,292707,4,5
Golden Love,spotify:track:7957aqf1HBqNkNiTLBp4E7,['Midnight Youth'],0,0.515,0.268,4,-14.091,1,0.0291,0.677,0.000134,0.101,0.261,135.185,240680,4,4
Just One Day,spotify:track:1uuyATSrgeVURyWHy68VxX,['Mighty Oaks'],44,0.602,0.566,3,-6.53,1,0.0258,0.199,0.000365,0.112,0.467,101.934,212120,4,1
Bad and Boujee (feat. Lil Uzi Vert),spotify:track:1FvU97lrWOG2NRxErh6OZz,"['Migos', 'Lil Uzi Vert']",56,0.897,0.661,8,-6.2,0,0.27,0.0633,0.0,0.116,0.193,127.081,334467,4,2
I Took A Pill In Ibiza - Seeb Remix,spotify:track:17Fd6Yb7mSbinKG8LoWfFl,"['Mike Posner', 'Seeb']",1,0.663,0.713,7,-6.647,0,0.112,0.0353,7.68e-06,0.0843,0.69,101.965,197933,4,5
Smile,spotify:track:0HC0DQfCneEYFMRYCG9m4s,['Mikky Ekko'],45,0.327,0.628,10,-7.714,1,0.0626,0.114,0.0,0.123,0.255,150.918,207253,4,7
Wrecking Ball,spotify:track:2vwlzO0Qp8kfEtzTsCXfyE,['Miley Cyrus'],77,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,221360,4,4
Monterey,spotify:track:73jeXbUDhYRMDehGpnbMGS,['The Milk Carton Kids'],0,0.585,0.121,1,-16.766,1,0.031,0.939,0.000524,0.113,0.214,97.999,275321,4,4
Michigan,spotify:track:0WkJWnMCumm1fnFscdY7Rw,['The Milk Carton Kids'],0,0.554,0.235,10,-14.609,1,0.0342,0.89,0.00328,0.114,0.232,121.836,330772,4,4
Down By The River,spotify:track:7l8SsHb1SX5edK0cyFFR9u,['Milky Chance'],0,0.66,0.677,9,-7.875,1,0.0602,0.729,3.75e-05,0.117,0.447,114.013,238027,4,4
1957,spotify:track:08cXy6KUizaAelYXtcew3w,['Milo Greene'],60,0.388,0.595,1,-9.799,1,0.0325,0.663,5.58e-05,0.178,0.596,190.043,204213,4,4
House By The Sea,spotify:track:75xEjgV4BbEdp2duGWT6jk,['Moddi'],0,0.617,0.246,8,-17.101,1,0.0412,0.796,0.00016,0.111,0.372,98.448,218280,4,4
Kids Will Be Skeletons,spotify:track:5WKhE1otfbZr5jmIMIQ8qR,['Mogwai'],0,0.172,0.249,2,-13.596,1,0.0311,0.0593,0.857,0.189,0.0526,99.308,327173,4,3
Stitches,spotify:track:6ol5itc8Y6Cmr4ZCu4LgwH,['Mr Little Jeans'],20,0.552,0.751,9,-6.998,0,0.0381,0.00269,7.23e-05,0.317,0.141,141.031,230800,4,7
Lift Me Up,spotify:track:1Ms5naFfMmdgLNIBVxJYjk,['Mree'],0,0.376,0.13,4,-17.144,1,0.0351,0.987,0.0281,0.0932,0.0924,125.083,275827,4,4
The sense of me,spotify:track:3Kt4ZWZZ7Pe5o8dhaI2GPz,['Mud Flow'],0,0.416,0.573,2,-8.559,0,0.0333,0.00107,0.875,0.229,0.115,75.984,152507,4,3
Tompkins Square Park,spotify:track:54oFXvBXWRGYRN88zjFKkH,['Mumford & Sons'],0,0.467,0.794,2,-6.552,0,0.0524,0.015,0.0379,0.114,0.46,161.729,312627,4,7
Still Trying,spotify:track:3SCDpe3QWlLSg5oJjqN25Q,['Nathaniel Rateliff'],50,0.515,0.146,11,-15.018,1,0.0381,0.813,0.00175,0.14,0.243,80.99,249580,4,4
This Is The Last Time,spotify:track:6XW2rKHwNnX5qzk79Qis9w,['The National'],0,0.499,0.496,0,-10.246,0,0.0327,0.644,0.368,0.0934,0.14,140.047,283387,4,4
The Heart,spotify:track:1l24O8lnrOZhlk695P2VhO,['NEEDTOBREATHE'],0,0.555,0.861,0,-4.721,1,0.0243,0.0202,0.0105,0.319,0.607,104.021,225667,4,1
Everybody Talks,spotify:track:5JGxJFdgOQdJZdmyEzDtTj,['Neon Trees'],0,0.476,0.918,8,-3.988,1,0.0616,0.00895,0.0,0.292,0.717,154.897,179387,4,7
Promises,spotify:track:5t8ANYm2ToLpjV7AxJ1U1N,['NERO'],0,0.484,0.943,9,-4.364,0,0.0647,3.77e-05,0.00452,0.593,0.345,143.933,257387,4,7
On the Brightside - EP Version,spotify:track:4ydfntQQR5g5gkACYwXHHt,['Never Shout Never'],46,0.737,0.28,8,-9.944,0,0.045,0.903,0.0,0.261,0.377,105.032,125760,4,4
Keep Trying,spotify:track:1hTxFFoEeE38YHvLagDaxY,['Newton Faulkner'],10,0.369,0.175,11,-10.317,1,0.031,0.851,0.0,0.109,0.347,150.157,229787,4,4
Fever To The Form,spotify:track:1QJnDJuYOGj05iSc4eWGr5,['Nick Mulvey'],67,0.358,0.546,0,-8.927,0,0.0296,0.795,0.0586,0.111,0.264,106.489,252960,3,0
Meet Me There,spotify:track:4U5sSRCvRF7OVAH1414ELm,['Nick Mulvey'],0,0.576,0.554,4,-7.476,1,0.0281,0.755,7.47e-05,0.0943,0.464,96.803,206147,4,4
That's How You Know (feat. Kid Ink & Bebe Rexha),spotify:track:3icbmPGKTsKAa0IinkizCM,"['Nico & Vinz', 'Kid Ink', 'Bebe Rexha']",59,0.769,0.437,1,-6.406,1,0.0363,0.44,0.0,0.116,0.737,103.921,186443,4,1
Winter,spotify:track:7IXITs3BguhrNHOByCBfJF,['Nieves'],18,0.575,0.325,1,-10.69,1,0.0366,0.877,0.0,0.09,0.426,80.079,183500,4,4
Some,spotify:track:2TkGYqnVFS0T5u2PYN6JQS,['Nils Frahm'],0,0.333,0.00289,5,-33.467,1,0.046,0.976,0.933,0.0747,0.191,95.641,253911,5,4
Nashville,spotify:track:7J1AXo68jW9zCxUfPKYqyI,['Noah Gundersen'],20,0.394,0.34,6,-9.452,0,0.0275,0.682,0.000214,0.0933,0.318,85.264,217013,4,4
Come Away With Me,spotify:track:0Cvjlph1WGbwZY1PlMEtJY,['Norah Jones'],71,0.363,0.129,0,-14.304,1,0.0322,0.904,1.52e-06,0.157,0.147,80.367,198147,3,0
Turn Me On,spotify:track:6FjAGZp7c0Z2uaL3eHkXsx,['Norah Jones'],67,0.57,0.172,10,-10.897,1,0.0344,0.869,1.14e-06,0.114,0.521,84.948,154640,3,0
Sunrise,spotify:track:7zkLpY72g6lKQbiHDqri1S,['Norah Jones'],71,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,200627,4,4
Juicy - 2005 Remaster,spotify:track:5ByAIlEEnxYdvpnezg7HTX,['The Notorious B.I.G.'],76,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,302760,4,2
Anchor,spotify:track:7qH9Z4dJEN0l9bidizW7fq,['Novo Amor'],77,0.457,0.407,9,-11.475,1,0.0308,0.805,0.884,0.126,0.126,117.053,257533,4,4
Dirty Paws,spotify:track:5g7rJvWYVrloJZwKiShqlS,['Of Monsters and Men'],71,0.359,0.649,3,-7.06,1,0.0349,0.107,0.0124,0.0555,0.133,111.709,278373,4,7
Hello My Old Heart,spotify:track:5wLBkpEwHIlNZJaeh0s7bR,['The Oh Hellos'],0,0.557,0.299,0,-10.634,1,0.0266,0.624,0.0308,0.0914,0.297,90.081,256007,4,4
Lay Me Down,spotify:track:1TKygFgEQtUaSTnNPnl6o9,['The Oh Hellos'],0,0.544,0.422,7,-10.826,1,0.0345,0.0204,0.0,0.332,0.327,140.284,183438,4,6
Cold Is The Night,spotify:track:0TgaaBAEf84VqvdTshIdPw,['The Oh Hellos'],0,0.621,0.0795,1,-17.238,1,0.0324,0.364,0.0,0.197,0.403,79.986,195012,1,0
Drive,spotify:track:2Kp3prE7jSyozQ2kT3Hiba,['Oh Wonder'],0,0.671,0.456,9,-8.313,1,0.0943,0.732,3.49e-06,0.0829,0.388,141.737,196466,4,4
Cover My Own,spotify:track:3adz8XLswyu5la8dqKs9Ba,['Old Sea Brigade'],0,0.727,0.212,7,-14.938,1,0.0364,0.57,0.0288,0.0673,0.404,134.066,233253,4,4
Alcatraz,spotify:track:1u2CN23PR0T2BHfXRNHwnM,['Oliver Riot'],52,0.589,0.453,4,-10.039,0,0.0302,0.644,0.000372,0.0557,0.119,79.984,268311,4,4
Cheerleader (Felix Jaehn Remix) - Radio Edit,spotify:track:6fQcqEcXfnY0L6VwS0c3gT,"['OMI', 'Felix Jaehn']",59,0.827,0.576,4,-7.774,1,0.0372,0.184,0.029,0.0656,0.41,118.04,180021,4,1
Drifting,spotify:track:58VZtWOA75FCms5fd8H7Zy,['On An On'],36,0.424,0.362,4,-10.577,0,0.029,0.0358,0.00157,0.0901,0.0445,101.741,276920,3,0
Drag Me Down,spotify:track:2K87XMYnUMqLcX3zvtAF4G,['One Direction'],80,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,5
Perfect,spotify:track:3NLnwwAQbbFKcEcV8hDItk,['One Direction'],76,0.647,0.823,2,-5.231,1,0.0762,0.0598,0.0,0.119,0.396,99.933,230333,4,1
One Thing,spotify:track:5G2c6FsfTzgYUzageCmfXY,['One Direction'],72,0.713,0.718,2,-3.806,1,0.0278,0.00233,0.0,0.0838,0.656,126.999,197600,4,1
Something I Need,spotify:track:6t1F0FTlVHAw6kEe164SsL,['OneRepublic'],50,0.683,0.595,7,-6.92,1,0.0313,0.154,0.0,0.225,0.632,98.969,240080,4,6
Counting Stars,spotify:track:519uJbE3zyKLlToVA65PrP,['OneRepublic'],0,0.665,0.7,1,-4.946,0,0.042,0.066,0.0,0.119,0.473,121.961,257267,4,5
Wherever I Go,spotify:track:46jLy47W8rkf8rEX04gMKB,['OneRepublic'],69,0.552,0.689,10,-6.444,0,0.0425,0.0915,0.0,0.27,0.349,99.961,169773,4,5
